Magasin;Nom magasin;Activite;Localisation;Code accord;Libelle fournisseur;Mode de gestion;Article;Libell√© article;Ca;Quantite
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;130958;KIT KAT CEREALES 330G;230,674;99
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1045806;BARRE FITNESS CHOCOLAT X6;165,239;113
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1045818;CEREALES CHOCAPIC DUO 400G;59,699;29
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1045823;COOKIE CRISP 625G;200,571;71
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1045832;BARRE CEREALES NESQUIK X12;70,946;33
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1121011;COOKIE CRISP 375G;520,508;297
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1121013;LION 400 GR;636,148;329
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1121022;CHOKELLA 350G;253,436;149
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1121025;GOLDEN GRAHAMS 375 GRS;325,847;189
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1121026;LION 1,3KG;95,063;27
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1121029;CHOCAPIC 430G;300,83;149
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1121031;CEREALES CHOCAPIC 750G;93,587;37
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1122686;NAT CROUSTI FOND CHOCO NOISET 3;342,912;169
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1122687;LION TRIPLE CRUNCHY CEREAL550G;205,28;73
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1162096;CEREALES NESQUIK 750G;78,029;33
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1192156;BARRES NESQUIK CEREALES LAIT;231,789;157
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1192157;CHOCAPIC BARRES CEREALES LAIT;180,318;125
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1192158;BARRE GOLDEN MINI CEREALES LAIT;51,814;45
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1192171;NESTLE MIX 190G;792,772;445
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1192175;CHOCAPIC 1 KG;837,034;199
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1192179;NESQUIK NESTLE 450G;48,902;37
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1192180;CRUNCH NESTLE 450G;73,354;49
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1192198;CEREALES LION WILD 600G;387,508;105
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1200360;BARRE LION 6X25G;51,47;45
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1200752;CEREALES CHEERIOS BIO 375G;277,27;123
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1200753;CEREALES CHOCAPIC BIO 375G;216,244;97
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1200754;CEREALES NESQUIK BIO 375G;176,202;83
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1213550;FITNESS CHOCOLAT 450 G;83,691;55
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1264559;CINI MINIS CHURROS 360G;11,975;19
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1404155;LION WILD 360G;95,658;34
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1514546;CEREAL CHOC NOIR FITNESS 450G;110,329;69
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1544547;CEREALES NATURE FITNESS 475G;357,055;193
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1545495;CEREAL MIX CHOCAPIC 6X30G;378,185;217
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1545496;CEREAL MIX LION NESTLE 6X40G;134,908;85
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1652050;LION CEREAL 750G;53,478;29
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1654654;BARRES LION 12X25G;36,194;14
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1788965;BARRES CHOCAPIC 12X25G;36,194;14
3;C;Station;Continent;15112;CEREALS PARTNERS;PERMANENT;1791232;CEREALES BIO LION;103,736;42
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;110408;NESTLE LION 1,050KG;567,238;152
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;120429;NESTLE CHOCAPIC CEREALES 375G;25,416;16
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;120430;NESTLE CHOCAPIC CEREALES 645G;58,988;22
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;120431;NESTLE NESQUIK CEREALES 375G;20,102;14
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;120432;NESTLE NESQUIK CEREALES 675G;68,82;26
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;120433;UC NESTLE CRUNCH CEREALES 375G;23,453;16
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;120434;NESTLE CRUNCH CEREALES 675G;57,35;22
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;120435;NESTLE LION CEREALES 675G;94,278;34
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;1045832;BARRE CEREALES NESQUIK X12;124,176;50
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;1200752;CEREALES CHEERIOS BIO 375G;51,667;26
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;1200753;CEREALES CHOCAPIC BIO 375G;361,221;166
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;1200754;CEREALES NESQUIK BIO 375G;86,112;42
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;1213550;FITNESS CHOCOLAT 450 G;99,865;58
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;1514546;CEREAL CHOC NOIR FITNESS 450G;99,865;58
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;1544547;CEREALES NATURE FITNESS 475G;235,396;134
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;1654654;BARRES LION 12X25G;89,746;36
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;1788965;BARRES CHOCAPIC 12X25G;89,746;36
3;C;Station;Continent;15112;CEREALS PARTNERS;NON PERMANENT;1791232;CEREALES BIO LION;214,132;98
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;110408;NESTLE LION 1,050KG;74,239;20
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;120429;NESTLE CHOCAPIC CEREALES 375G;457,481;254
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;120430;NESTLE CHOCAPIC CEREALES 645G;265,446;92
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;120431;NESTLE NESQUIK CEREALES 375G;120,614;74
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;120432;NESTLE NESQUIK CEREALES 675G;34,41;14
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;120433;UC NESTLE CRUNCH CEREALES 375G;140,716;86
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;120434;NESTLE CRUNCH CEREALES 675G;57,35;22
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;120435;NESTLE LION CEREALES 675G;141,418;50
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;130958;KIT KAT CEREALES 330G;230,807;100
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1045806;BARRE FITNESS CHOCOLAT X6;70,673;50
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1121011;COOKIE CRISP 375G;357,585;200
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1121013;LION 400 GR;763,588;386
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1121022;CHOKELLA 350G;303,819;170
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1121025;GOLDEN GRAHAMS 375 GRS;260,417;146
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1121026;LION 1,3KG;95,063;20
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1121029;CHOCAPIC 430G;150,415;74
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1121031;CEREALES CHOCAPIC 750G;233,968;72
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1122686;NAT CROUSTI FOND CHOCO NOISET 3;68,726;34
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1122687;LION TRIPLE CRUNCHY CEREAL550G;50,381;18
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1162096;CEREALES NESQUIK 750G;39,014;14
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1162097;CRUNCH 750G;45,517;16
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1192156;BARRES NESQUIK CEREALES LAIT;102,596;66
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1192157;CHOCAPIC BARRES CEREALES LAIT;77,377;50
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1192158;BARRE GOLDEN MINI CEREALES LAIT;51,47;34
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1192171;NESTLE MIX 190G;286,139;158
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1192175;CHOCAPIC 1 KG;319,866;74
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1192179;NESQUIK NESTLE 450G;48,902;26
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1192180;CRUNCH NESTLE 450G;36,677;20
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1192198;CEREALES LION WILD 600G;156,539;50
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1200360;BARRE LION 6X25G;154,755;98
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1200752;CEREALES CHEERIOS BIO 375G;50,534;22
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1200753;CEREALES CHOCAPIC BIO 375G;91,762;38
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1213550;FITNESS CHOCOLAT 450 G;81,802;44
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1264559;CINI MINIS CHURROS 360G;23,95;14
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1404155;LION WILD 360G;64,456;34
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1514546;CEREAL CHOC NOIR FITNESS 450G;245,406;111
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1544547;CEREALES NATURE FITNESS 475G;282,083;129
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1545495;CEREAL MIX CHOCAPIC 6X30G;133,582;57
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1545496;CEREAL MIX LION NESTLE 6X40G;44,668;9
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1652050;LION CEREAL 750G;267,392;65
4;D;Hyper;Corse;15112;CEREALS PARTNERS;PERMANENT;1654654;BARRES LION 12X25G;144,933;33
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;110408;NESTLE LION 1,050KG;162,512;27
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;120429;NESTLE CHOCAPIC CEREALES 375G;50,831;13
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;120430;NESTLE CHOCAPIC CEREALES 645G;58,988;5
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;120431;NESTLE NESQUIK CEREALES 375G;40,205;9
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;120432;NESTLE NESQUIK CEREALES 675G;68,82;9
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;120433;UC NESTLE CRUNCH CEREALES 375G;23,453;10
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;120434;NESTLE CRUNCH CEREALES 675G;57,35;22
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;120435;NESTLE LION CEREALES 675G;94,278;34
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;1045832;BARRE CEREALES NESQUIK X12;31,044;14
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;1200752;CEREALES CHEERIOS BIO 375G;44,222;22
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;1200753;CEREALES CHOCAPIC BIO 375G;53,067;26
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;1200754;CEREALES NESQUIK BIO 375G;44,222;22
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;1213550;FITNESS CHOCOLAT 450 G;24,966;16
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;1514546;CEREAL CHOC NOIR FITNESS 450G;24,966;16
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;1544547;CEREALES NATURE FITNESS 475G;21,4;14
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;1654654;BARRES LION 12X25G;95,026;38
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;1788965;BARRES CHOCAPIC 12X25G;95,026;38
4;D;Hyper;Corse;15112;CEREALS PARTNERS;NON PERMANENT;1791232;CEREALES BIO LION;35,377;18
